iter	Passed	Remaining
871	8010	1175
872	8016	1166
873	8021	1156
874	8026	1146
875	8031	1136
876	8037	1127
877	8042	1117
878	8048	1107
879	8054	1098
880	8060	1088
881	8067	1079
882	8072	1069
883	8078	1060
884	8082	1050
885	8090	1041
886	8097	1031
887	8102	1021
888	8106	1012
889	8112	1002
890	8117	993
891	8122	983
892	8128	973
893	8133	964
894	8138	954
895	8146	945
896	8152	936
897	8158	926
898	8164	917
899	8172	908
900	8183	899
901	8190	889
902	8195	880
903	8201	870
904	8208	861
905	8216	852
906	8221	842
907	8228	833
908	8234	824
909	8238	814
910	8246	805
911	8250	796
912	8255	786
913	8260	777
914	8265	767
915	8270	758
916	8276	749
917	8281	739
918	8284	730
919	8289	720
920	8294	711
921	8299	702
922	8302	692
923	8307	683
924	8311	673
925	8315	664
926	8321	655
927	8325	645
928	8329	636
929	8334	627
930	8339	618
931	8342	608
932	8346	599
933	8353	590
934	8357	581
935	8361	571
936	8366	562
937	8370	553
938	8374	544
939	8380	534
940	8384	525
941	8388	516
942	8396	507
943	8400	498
944	8404	489
945	8409	480
946	8414	470
947	8418	461
948	8423	452
949	8428	443
950	8432	434
951	8436	425
952	8442	416
953	8446	407
954	8451	398
955	8457	389
956	8462	380
957	8466	371
958	8472	362
959	8477	353
960	8483	344
961	8491	335
962	8499	326
963	8504	317
964	8509	308
965	8513	299
966	8519	290
967	8524	281
968	8528	272
969	8532	263
970	8536	254
971	8540	246
972	8547	237
973	8552	228
974	8556	219
975	8561	210
976	8566	201
977	8570	192
978	8576	183
979	8581	175
980	8587	166
981	8593	157
982	8597	148
983	8600	139
984	8605	131
985	8610	122
986	8614	113
987	8619	104
988	8624	95
989	8627	87
990	8631	78
991	8636	69
992	8640	60
993	8643	52
994	8649	43
995	8652	34
996	8656	26
997	8660	17
998	8664	8
999	8668	0
